id,adultBiomass,larvaeBiomass
1,18.3358,0.22360311
2,16.83339,1.42855291
3,20.61453,0.41587917
4,18.4207,0.5731701
5,19.08093,0.53455073
6,17.90066,1.2547061
7,19.26668,0.05831482
8,17.17499,0.33921214
9,20.61578,0.43834703
10,19.65334,0.47878006
11,21.17633,1.66664435
12,21.5636,0.63218488
13,17.33796,1.53406541
14,17.53475,0.42463939
15,15.69151,0.29437297
16,17.91896,0.24816188
17,19.85441,0.43473025
18,22.97951,0.91680859
19,20.71484,0.09561745
20,16.31556,0.01638729
21,21.10974,0.26953107
22,22.94766,0.31592853
23,18.13286,0.09065701
24,17.18386,2.40519243
25,22.57369,1.14743716
26,23.66927,2.20335755
27,24.29726,0.29078757
28,19.05678,0.18663759
29,18.66126,1.12788776
30,21.86112,0.78530757
