id,predator,tilapia_size
1,absence,4.418218
2,absence,6.554734
3,absence,11.287272
4,absence,6.438146
5,absence,15.742227
6,absence,7.238913
7,absence,12.931606
8,absence,11.627301
9,absence,8.214161
10,absence,10.95084
11,absence,13.006451
12,absence,9.81311
13,absence,13.747899
14,absence,5.782923
15,absence,7.104669
16,absence,6.477329
17,absence,9.235468
18,absence,6.678138
19,absence,8.482804
20,absence,5.930359
21,absence,13.417872
22,absence,7.239898
23,absence,15.529354
24,absence,8.887567
25,absence,11.520015
26,absence,11.127369
27,absence,10.148312
28,absence,11.029354
29,absence,12.854652
30,absence,7.613692
31,presence,17.796128
32,presence,14.43005
33,presence,16.778073
34,presence,19.600987
35,presence,14.155719
36,presence,14.250568
37,presence,15.072684
38,presence,16.326564
39,presence,13.103469
40,presence,11.885012
41,presence,15.467203
42,presence,12.191724
43,presence,6.382657
44,presence,13.904322
45,presence,14.584143
46,presence,21.471415
47,presence,9.596688
48,presence,20.794476
49,presence,13.4591
50,presence,18.923493
51,presence,12.767545
52,presence,12.978535
53,presence,14.738662
54,presence,13.662733
55,presence,15.253023
56,presence,14.474786
57,presence,10.452871
58,presence,13.016161
59,presence,8.206096
60,presence,11.273895
